0/12343: emocional -->  EMOCIONAL
1/12343: sumamente -->  SUMAMENTE
2/12343: inestable -->  INESTABLE
3/12343: debido -->  DEBIDO
4/12343: estrés -->  ESTRÉS
5/12343: supone -->  SUPONER
6/12343: falta -->  FALTA
7/12343: contacto -->  CONTACTO
8/12343: hijos -->  HIJO
9/12343: impotencia -->  IMPOTENCIA
10/12343: siento -->  SENTAR
11/12343: constatar -->  CONSTATAR
12/12343: especialistas -->  ESPECIALISTA
13/12343: seguido -->  SEGUIDO
14/12343: caso -->  CASO
15/12343: querido -->  QUERIDO
16/12343: sabido -->  SABER
17/12343: ver -->  VER
18/12343: manipulación -->  MANIPULACIÓN
19/12343: ejerce -->  EJERCER
20/12343: padre -->  PADRE
21/12343: preocupación -->  PREOCUPACIÓN
22/12343: análisis -->  ANÁLISIS
23/12343: sangre -->  SANGRE
24/12343: transaminasas -->  -
25/12343: altas -->  ALTA
26/12343: hice -->  HACER
27/12343: repetición -->  REPETICIÓN
28/12343: urgente -->  URGENTE
29/12343: analítica -->  ANALÍTICO
30/12343: valores -->  VALOR
31/12343: bien -->  BIEN
32/12343: quedarme -->  QUEDAR
33/12343: blanco -->  BLANCO
34/12343: pensado -->  PENSADO
35/12343: si -->  SI
36/12343: valiera -->  VALER
37/12343: nerviosa -->  NERVIOSO
38/12343: noches -->  NOCHE
39/12343: pesadillas -->  PESADILLA
40/12343: calambres -->  CALAMBRE
41/12343: ganas -->  GANA
42/12343: comer -->  COMER
43/12343: días -->  DÍA
44/12343: tener -->  TENER
45/12343: retentiva -->  RETENTIVA
46/12343: memoria -->  MEMORIA
47/12343: agobiada -->  AGOBIADO
48/12343: estabilización -->  ESTABILIZACIÓN
49/12343: equilibrio -->  EQUILIBRIO
50/12343: mal -->  MAL
51/12343: humorada -->  HUMORADA
52/12343: inestabilidad -->  INESTABILIDAD
53/12343: paso -->  PASO
54/12343: enfados -->  ENFADO
55/12343: discusiones -->  DISCUSIÓN
56/12343: trabajo -->  TRABAJO
57/12343: compañeras -->  COMPAÑERO
58/12343: dimesydirétes -->  -
59/12343: cuestionan -->  CUESTIONAR
60/12343: dicen -->  DECIR
61/12343: tomo -->  TOMO
62/12343: bebida -->  BEBIDA
63/12343: licor -->  LICOR
64/12343: vez -->  VEZ
65/12343: mas -->  -
66/12343: complot -->  COMPLOT
67/12343: saben -->  SABER
68/12343: decir -->  DECIR
69/12343: sentirse -->  SENTIR
70/12343: deprimida -->  DEPRIMIDO
71/12343: ansiedad -->  ANSIEDAD
72/12343: depender -->  DEPENDER
73/12343: medicación -->  MEDICACIÓN
74/12343: diaria -->  DIARIO
75/12343: pasar -->  PASAR
76/12343: poder -->  PODER
77/12343: conciliar -->  CONCILIAR
78/12343: paz -->  PAZ
79/12343: sueño -->  SUEÑO
80/12343: tomando -->  TOMAR
81/12343: dignidad -->  DIGNIDAD
82/12343: voy -->  IR
83/12343: permitir -->  PERMITIR
84/12343: pongan -->  PONER
85/12343: pie -->  PIE
86/12343: caballos -->  CABALLO
87/12343: indignación -->  INDIGNACIÓN
88/12343: ello -->  ELLO
89/12343: problemas -->  PROBLEMA
90/12343: compañera -->  COMPAÑERO
91/12343: atrajo -->  ATRAER
92/12343: curiosidad -->  CURIOSIDAD
93/12343: jefa -->  JEFA
94/12343: dio -->  DAR
95/12343: facilidad -->  FACILIDAD
96/12343: hacer -->  HACER
97/12343: queja -->  QUEJA
98/12343: ayudó -->  AYUDAR
99/12343: contenta -->  CONTENTA
100/12343: situación -->  SITUACIÓN
101/12343: adversa -->  ADVERSO
102/12343: persona -->  PERSONA
103/12343: espero -->  ESPERAR
104/12343: gusta -->  GUSTAR
105/12343: cosa -->  COSA
106/12343: difícil -->  DIFÍCIL
107/12343: gustan -->  GUSTAR
108/12343: contiendas -->  CONTIENDA
109/12343: momento -->  MOMENTO
110/12343: tranquila -->  TRANQUILO
111/12343: solucionado -->  SOLUCIONAR
112/12343: podía -->  PODER
113/12343: tomar -->  TOMAR
114/12343: decisiones -->  DECISIÓN
115/12343: escrito -->  ESCRIBIR
116/12343: costó -->  COSTAR
117/12343: hostigamiento -->  HOSTIGAMIENTO
118/12343: constante -->  CONSTANTE
119/12343: ahora -->  AHORA
120/12343: doy -->  DAR
121/12343: gracias -->  GRACIAS
122/12343: decisión -->  DECISIÓN
123/12343: fastidiada -->  FASTIDIAR
124/12343: desmayado -->  DESMAYADO
125/12343: cuanto -->  CUANTO
126/12343: tiempo -->  TIEMPO
127/12343: perdida -->  PERDIDO
128/12343: quiero -->  QUERER
129/12343: pensar -->  PENSAR
130/12343: valorar -->  VALORAR
131/12343: puedo -->  PODER
132/12343: quedo -->  QUEDO
133/12343: reacciono -->  REACCIONAR
134/12343: acuerdo -->  ACUERDO
135/12343: muchas -->  MUCHO
136/12343: sangro -->  SANGRAR
137/12343: matan -->  MATAR
138/12343: matar -->  MATAR
139/12343: agresiva -->  AGRESIVO
140/12343: enfadada -->  ENFADAR
141/12343: sé -->  SABER
142/12343: pasa -->  PASA
143/12343: enemigos -->  ENEMIGO
144/12343: quieren -->  QUERER
145/12343: hecho -->  HECHO
146/12343: toda -->  TODO
147/12343: puede -->  PODER
148/12343: deber -->  DEBER
149/12343: derecho -->  DERECHO
150/12343: sucede -->  SUCEDER
151/12343: calumnias -->  CALUMNIA
152/12343: hacia -->  HACIA
153/12343: iré -->  IR
154/12343: mentiras -->  MENTIRA
155/12343: soporto -->  SOPORTAR
156/12343: dejaré -->  DEJAR
157/12343: pisotear -->  PISOTEAR
158/12343: nadie -->  NADIE
159/12343: pisotee -->  PISOTEAR
160/12343: haga -->  HACER
161/12343: daño -->  DAÑO
162/12343: capaz -->  CAPAZ
163/12343: realizar -->  REALIZAR
164/12343: cosas -->  COSA
165/12343: hablan -->  HABLAR
166/12343: oído -->  OÍDO
167/12343: personas -->  PERSONA
168/12343: extrañas -->  EXTRAÑO
169/12343: va -->  IR
170/12343: conmigo -->  CONMIGO
171/12343: inventan -->  INVENTAR
172/12343: rumorean -->  RUMOREAR
173/12343: persiguen -->  PERSEGUIR
174/12343: pisotean -->  PISOTEAR
175/12343: imagen -->  IMAGEN
176/12343: burlan -->  BURLAR
177/12343: sufro -->  SUFRIR
178/12343: insomnio -->  INSOMNIO
179/12343: mareos -->  MAREO
180/12343: cae -->  CAER
181/12343: pelo -->  PELO
182/12343: sensación -->  SENSACIÓN
183/12343: vómito -->  VÓMITO
184/12343: hago -->  HACER
185/12343: arcadas -->  ARCADA
186/12343: inútil -->  INÚTIL
187/12343: activa -->  ACTIVO
188/12343: gente -->  GENTE
189/12343: persigue -->  PERSEGUIR
190/12343: triste -->  TRISTE
191/12343: lloro -->  LLORO
192/12343: valgo -->  VALER
193/12343: sola -->  SOLO
194/12343: iniciativa -->  INICIATIVA
195/12343: limpieza -->  LIMPIEZA
196/12343: casa -->  CASA
197/12343: guisar -->  GUISAR
198/12343: concentrar -->  CONCENTRAR
199/12343: olvido -->  OLVIDO
200/12343: molesta -->  MOLESTO
201/12343: supera -->  SUPERAR
202/12343: enfermedad -->  ENFERMEDAD
203/12343: mes -->  MES
204/12343: agosto -->  AGOSTO
205/12343: concreto -->  CONCRETO
206/12343: pasado -->  PASADO
207/12343: día -->  DÍA
208/12343: incidente -->  INCIDENTE
209/12343: hermana -->  HERMANO
210/12343: mayor -->  MAYOR
211/12343: pareja -->  PAREJA
212/12343: vacaciones -->  VACACIÓN
213/12343: suegros -->  SUEGRO
214/12343: playa -->  PLAYA
215/12343: comportó -->  COMPORTAR
216/12343: verbalmente -->  VERBALMENTE
217/12343: llamar -->  LLAMAR
218/12343: dos -->  DOS
219/12343: veces -->  VEZ
220/12343: policía -->  POLICÍA
221/12343: local -->  LOCAL
222/12343: desplazarse -->  DESPLAZAR
223/12343: alicante -->  -
224/12343: segovia -->  -
225/12343: intentar -->  INTENTAR
226/12343: solucionar -->  SOLUCIONAR
227/12343: problema -->  PROBLEMA
228/12343: dicho -->  DICHO
229/12343: provocado -->  PROVOCAR
230/12343: temor -->  TEMOR
231/12343: horrible -->  HORRIBLE
232/12343: cuñada -->  CUÑADO
233/12343: van -->  IR
234/12343: poner -->  PONER
235/12343: solución -->  SOLUCIÓN
236/12343: menos -->  MENOS
237/12343: intentarlo -->  INTENTAR
238/12343: vida -->  VIDA
239/12343: sentimental -->  SENTIMENTAL
240/12343: contemplando -->  CONTEMPLAR
241/12343: posible -->  POSIBLE
242/12343: separación -->  SEPARACIÓN
243/12343: incapaz -->  INCAPAZ
244/12343: aplicar -->  APLICAR
245/12343: distraída -->  DISTRAÍDO
246/12343: impulsos -->  IMPULSO
247/12343: descontrolados -->  DESCONTROLADO
248/12343: enfado -->  ENFADO
249/12343: tareas -->  TAREA
250/12343: habituales -->  HABITUAL
251/12343: fregar -->  FREGAR
252/12343: planchar -->  PLANCHAR
253/12343: regar -->  REGAR
254/12343: plantas -->  PLANTA
255/12343: noto -->  NOTAR
256/12343: acelerada -->  ACELERADO
257/12343: contestona -->  CONTESTÓN
258/12343: creativa -->  CREATIVO
259/12343: doble -->  DOBLE
260/12343: seroquel -->  -
261/12343: dejé -->  DEJAR
262/12343: lunes -->  LUNES
263/12343: martes -->  MARTES
264/12343: familiar -->  FAMILIAR
265/12343: delicada -->  DELICADO
266/12343: intento -->  INTENTO
267/12343: aguantar -->  AGUANTAR
268/12343: cita -->  CITA
269/12343: normal -->  NORMAL
270/12343: octubre -->  OCTUBRE
271/12343: demasiado -->  DEMASIADO
272/12343: feliz -->  FELIZ
273/12343: respecto -->  RESPECTO
274/12343: vital -->  VITAL
275/12343: entusiasmada -->  ENTUSIASMAR
